web-scraper-order,web-scraper-start-url,nama_produk,diskon_produk,harga_produk
"1730849833-1","https://www.klikindomaret.com/category/facial-cleanser","Garnier Men Turbo Bright Super Serum Gel 5X Vitamin C 7mL","57%
                                                        Rp 26.500","Rp 11.500"
"1730849833-2","https://www.klikindomaret.com/category/facial-cleanser","Olay Regenerist Micro Sculpting Day Cream 7G","50%
                                                        Rp 29.900","Rp 14.900"
"1730849833-3","https://www.klikindomaret.com/category/facial-cleanser","Olay Regenerist Retinol 24 Moisturiser Night Cream 7G","50%
                                                        Rp 29.900","Rp 14.900"
"1730849833-4","https://www.klikindomaret.com/category/facial-cleanser","Maybelline Foundation Fit Me Matte + Poreless 120 Classic Ivo 5mL","50%
                                                        Rp 37.900","Rp 18.900"
"1730849833-5","https://www.klikindomaret.com/category/facial-cleanser","Maybelline Foundation Fit Me Matte + Poreless 128 Warm Nude 5mL","50%
                                                        Rp 37.900","Rp 18.900"
"1730849833-6","https://www.klikindomaret.com/category/facial-cleanser","Maybelline Fit Me Matte+Poreless Powder 128 Warm Nude 6G","50%
                                                        Rp 77.500","Rp 38.700"
"1730849833-7","https://www.klikindomaret.com/category/facial-cleanser","Carasun Solar Smart Uv Protection 8Ml","50%
                                                        Rp 19.200","Rp 9.600"
"1730849833-8","https://www.klikindomaret.com/category/facial-cleanser","Himalaya Natural Glow Face Wash Rose 100mL","50%
                                                        Rp 35.500","Rp 17.800"
"1730849833-9","https://www.klikindomaret.com/category/facial-cleanser","Himalaya Brightening Face Wash Herbals Clear Complex 100mL","40%
                                                        Rp 42.500","Rp 25.500"
"1730849833-10","https://www.klikindomaret.com/category/facial-cleanser","Rojukiss Pinkish Bright Serum Jeju Lotus 8Ml","40%
                                                        Rp 22.700","Rp 13.620"
"1730849833-11","https://www.klikindomaret.com/category/facial-cleanser","Rojukiss Pro Acne Serum Tea Tree Bija 8Ml","40%
                                                        Rp 22.700","Rp 13.620"
"1730849833-12","https://www.klikindomaret.com/category/facial-cleanser","Garnier Bright Complete Water Gel Vitamin C 20mL","39%
                                                        Rp 42.700","Rp 25.900"
"1730849833-13","https://www.klikindomaret.com/category/facial-cleanser","Garnier Sakura Glow Water Gel Ceramide 20mL","39%
                                                        Rp 42.700","Rp 25.900"
"1730849833-14","https://www.klikindomaret.com/category/facial-cleanser","Garnier Bright Complete Overnight Serum Vitamin C 7.5mL","39%
                                                        Rp 22.900","Rp 13.900"
